loan_id,user_id,requested_at,approved_at,disbursed_at,due_date,repaid_at,amount,fee,tip_amount,instant_transfer_fee,status,late_days,chargeoff_flag,autopay_enrolled,principal_repaid,writeoff_amount,price_variant,tip_variant
L48-1,48,2025-07-20T00:00:00,,,,,91.06,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L49-1,49,2025-03-30T00:00:00,2025-03-30 12:04:02.126657,2025-03-30 20:49:14.907769,2025-04-13,2025-04-18T20:49:14.907769,144.69,0.0,0.0,0.0,repaid,5,0,1,144.69,0.0,A,control
L53-1,53,2025-06-20T00:00:00,,,,,231.81,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L54-1,54,2025-04-26T00:00:00,2025-04-26 13:39:04.439896,2025-04-26 14:02:07.112382,2025-05-10,2025-05-12T14:02:07.112382,177.68,0.0,2.0,0.0,repaid,2,0,1,177.68,0.0,A,control
L55-1,55,2025-04-27T00:00:00,,,,,184.38,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L57-1,57,2025-03-16T00:00:00,2025-03-16 19:51:34.992359,2025-03-16 21:51:52.713909,2025-03-30,2025-04-01T21:51:52.713909,108.17,0.0,0.0,0.0,repaid,2,0,1,108.17,0.0,A,control
L61-1,61,2025-04-17T00:00:00,2025-04-17 19:06:01.176744,2025-04-18 02:13:43.976004,2025-05-02,2025-05-04T02:13:43.976004,199.74,2.47,0.0,1.99,repaid,2,0,1,199.74,0.0,B,persuasive
L61-2,61,2025-05-30T00:00:00,2025-05-30 11:52:55.466725,2025-05-30 15:17:11.059740,2025-06-13,2025-06-15T15:17:11.059740,209.71,2.16,0.0,0.0,repaid,2,0,0,209.71,0.0,B,persuasive
L61-3,61,2025-05-21T00:00:00,2025-05-22 02:06:31.785093,2025-05-22 07:03:43.073727,2025-06-05,2025-06-07T07:03:43.073727,79.27,1.09,0.0,0.0,repaid,2,0,1,79.27,0.0,B,persuasive
L62-1,62,2025-02-21T00:00:00,2025-02-21 03:37:47.538280,2025-02-21 09:28:41.378758,2025-03-07,2025-03-07T09:28:41.378758,131.35,0.0,0.0,0.0,repaid,0,0,0,131.35,0.0,A,control
L62-2,62,2025-05-29T00:00:00,,,,,67.83,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L62-3,62,2025-02-24T00:00:00,2025-02-25 03:57:51.625908,2025-02-25 06:37:46.054351,2025-03-11,2025-03-14T06:37:46.054351,83.42,0.0,0.0,0.0,repaid,3,0,0,83.42,0.0,A,control
L62-4,62,2025-03-26T00:00:00,2025-03-26 15:22:58.577872,2025-03-26 16:07:14.017793,2025-04-09,2025-04-09T16:07:14.017793,104.02,0.0,0.0,0.0,repaid,0,0,1,104.02,0.0,A,control
L62-5,62,2025-05-17T00:00:00,2025-05-17 09:12:03.007506,2025-05-17 19:23:40.599212,2025-05-31,2025-06-01T19:23:40.599212,119.6,0.0,0.0,0.0,repaid,1,0,1,119.6,0.0,A,control
L63-1,63,2025-02-09T00:00:00,2025-02-09 01:12:31.261702,2025-02-09 02:32:13.855552,2025-02-23,2025-02-25T02:32:13.855552,199.12,0.0,2.0,0.0,repaid,2,0,1,199.12,0.0,A,control
L63-2,63,2025-02-06T00:00:00,,,,,78.91,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L65-1,65,2025-06-22T00:00:00,2025-06-22 08:16:40.480504,2025-06-22 13:20:10.731241,2025-07-06,,156.38,1.59,2.0,0.0,default,18,1,1,0.0,136.74,B,persuasive
L65-2,65,2025-07-03T00:00:00,2025-07-03 01:43:09.570458,2025-07-03 02:01:01.989514,2025-07-17,2025-07-21T02:01:01.989514,182.33,2.43,0.0,1.99,repaid,4,0,1,182.33,0.0,B,persuasive
L67-1,67,2025-07-16T00:00:00,2025-07-16 14:25:01.309830,2025-07-16 16:04:28.823136,2025-07-30,2025-08-02T16:04:28.823136,190.22,2.09,0.0,1.99,repaid,3,0,0,190.22,0.0,B,persuasive
L68-1,68,2025-04-15T00:00:00,,,,,121.03,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,social_proof
L68-2,68,2025-05-15T00:00:00,2025-05-15 14:39:58.356042,2025-05-15 14:54:08.663582,2025-05-29,,200.18,0.0,0.0,0.0,default,3,1,1,0.0,144.93,A,social_proof
L69-1,69,2025-06-05T00:00:00,2025-06-05 07:58:56.078807,2025-06-05 21:57:23.440680,2025-06-19,2025-06-21T21:57:23.440680,122.36,0.0,0.0,0.0,repaid,2,0,0,122.36,0.0,A,persuasive
L69-2,69,2025-07-02T00:00:00,,,,,105.11,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L69-3,69,2025-07-07T00:00:00,2025-07-07 09:19:53.171205,2025-07-07 09:20:46.859149,2025-07-21,2025-07-21T09:20:46.859149,95.54,0.0,0.0,0.0,repaid,0,0,0,95.54,0.0,A,persuasive
L70-1,70,2025-06-10T00:00:00,2025-06-10 00:07:15.404689,2025-06-10 07:12:50.461409,2025-06-24,2025-06-26T07:12:50.461409,118.65,0.0,0.0,0.0,repaid,2,0,0,118.65,0.0,A,persuasive
L70-2,70,2025-06-16T00:00:00,2025-06-16 07:30:06.920308,2025-06-16 08:06:34.802720,2025-06-30,2025-06-30T08:06:34.802720,157.59,0.0,0.0,0.0,repaid,0,0,1,157.59,0.0,A,persuasive
L73-1,73,2025-06-25T00:00:00,2025-06-25 06:28:18.909676,2025-06-25 07:10:07.317633,2025-07-09,2025-07-09T07:10:07.317633,84.89,1.24,0.0,1.99,repaid,0,0,1,84.89,0.0,B,social_proof
L73-2,73,2025-07-02T00:00:00,,,,,172.46,2.29,0.0,2.99,requested,0,0,1,0.0,0.0,B,social_proof
L75-1,75,2025-03-26T00:00:00,,,,,173.24,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L75-2,75,2025-04-26T00:00:00,,,,,142.08,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L76-1,76,2025-05-05T00:00:00,2025-05-05 03:48:03.705745,2025-05-05 12:14:18.158967,2025-05-19,2025-05-19T12:14:18.158967,206.25,0.0,0.0,0.0,repaid,0,0,1,206.25,0.0,A,social_proof
L77-1,77,2025-05-15T00:00:00,2025-05-15 00:21:24.095947,2025-05-15 10:09:52.738910,2025-05-29,,106.4,1.45,0.0,2.99,default,16,1,0,0.0,78.38,B,control
L79-1,79,2025-05-18T00:00:00,,,,,160.4,1.95,0.0,1.99,requested,0,0,1,0.0,0.0,B,control
L79-2,79,2025-06-08T00:00:00,2025-06-08 06:04:54.279768,2025-06-08 06:25:48.418766,2025-06-22,2025-06-25T06:25:48.418766,40.0,0.76,0.0,0.0,repaid,3,0,0,40.0,0.0,B,control
L80-1,80,2025-07-11T00:00:00,2025-07-11 10:29:28.974897,2025-07-11 10:50:27.857838,2025-07-25,,253.37,0.0,0.0,0.0,default,29,1,1,0.0,209.26,A,persuasive
L80-2,80,2025-05-21T00:00:00,2025-05-21 20:20:32.942033,2025-05-21 22:15:45.309928,2025-06-04,,144.65,0.0,1.0,0.0,default,23,1,1,0.0,90.94,A,persuasive
L80-3,80,2025-06-13T00:00:00,2025-06-14 16:32:24.989622,2025-06-15 06:45:20.960631,2025-06-29,2025-07-02T06:45:20.960631,120.96,0.0,0.0,0.0,repaid,3,0,1,120.96,0.0,A,persuasive
L83-1,83,2025-02-10T00:00:00,,,,,93.22,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L86-1,86,2025-06-03T00:00:00,2025-06-03 18:28:54.639576,2025-06-04 19:45:50.640975,2025-06-18,2025-06-18T19:45:50.640975,110.76,0.0,0.0,0.0,repaid,0,0,0,110.76,0.0,A,social_proof
L86-2,86,2025-06-16T00:00:00,2025-06-16 05:13:56.173752,2025-06-16 09:43:12.879800,2025-06-30,2025-06-30T09:43:12.879800,105.4,0.0,0.0,0.0,repaid,0,0,0,105.4,0.0,A,social_proof
L87-1,87,2025-05-22T00:00:00,2025-05-22 08:56:55.556627,2025-05-22 15:43:02.459200,2025-06-05,2025-06-06T15:43:02.459200,73.57,0.0,0.0,0.0,repaid,1,0,0,73.57,0.0,A,control
L87-2,87,2025-06-07T00:00:00,2025-06-07 02:23:52.442017,2025-06-07 03:33:37.062667,2025-06-21,,193.96,0.0,0.0,0.0,default,13,1,1,0.0,150.96,A,control
L89-1,89,2025-07-28T00:00:00,,,,,162.26,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L90-1,90,2025-03-07T00:00:00,2025-03-07 02:28:57.472052,2025-03-07 03:34:19.521837,2025-03-21,,137.49,0.0,0.0,0.0,default,28,1,1,0.0,103.92,A,control
L90-2,90,2025-04-11T00:00:00,2025-04-11 03:03:03.372506,2025-04-11 05:40:58.159875,2025-04-25,2025-04-27T05:40:58.159875,157.87,0.0,0.0,0.0,repaid,2,0,1,157.87,0.0,A,control
L95-1,95,2025-02-19T00:00:00,,,,,246.49,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L97-1,97,2025-04-16T00:00:00,2025-04-16 15:13:13.612249,2025-04-17 00:24:32.618837,2025-05-01,2025-05-02T00:24:32.618837,60.44,0.0,0.0,0.0,repaid,1,0,1,60.44,0.0,A,control
L98-1,98,2025-04-10T00:00:00,2025-04-10 19:58:38.031273,2025-04-10 20:45:18.775374,2025-04-24,2025-04-25T20:45:18.775374,196.88,0.0,0.0,0.0,repaid,1,0,1,196.88,0.0,A,control
L98-2,98,2025-03-28T00:00:00,2025-03-28 01:56:02.184344,2025-03-28 02:59:41.353460,2025-04-11,,165.87,0.0,0.0,0.0,default,21,1,0,0.0,118.83,A,control
L98-3,98,2025-05-05T00:00:00,2025-05-05 02:03:35.509656,2025-05-05 06:29:56.072589,2025-05-19,2025-05-22T06:29:56.072589,111.23,0.0,0.0,0.0,repaid,3,0,0,111.23,0.0,A,control
L99-1,99,2025-07-08T00:00:00,,,,,133.79,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,persuasive
L100-1,100,2025-04-14T00:00:00,2025-04-14 03:52:33.368766,2025-04-14 15:14:27.015605,2025-04-28,2025-04-28T15:14:27.015605,78.88,1.37,0.0,0.0,repaid,0,0,1,78.88,0.0,B,persuasive
L100-2,100,2025-06-14T00:00:00,,,,,241.8,2.8,0.0,1.99,requested,0,0,1,0.0,0.0,B,persuasive
L101-1,101,2025-05-17T00:00:00,2025-05-17 04:02:07.452998,2025-05-17 15:02:07.489860,2025-05-31,2025-06-01T15:02:07.489860,155.89,2.21,0.0,0.0,repaid,1,0,1,155.89,0.0,B,social_proof
L101-2,101,2025-06-19T00:00:00,,,,,188.76,2.22,0.0,2.99,requested,0,0,0,0.0,0.0,B,social_proof
L102-1,102,2025-02-11T00:00:00,2025-02-11 02:56:49.548510,2025-02-11 09:42:07.332786,2025-02-25,2025-02-28T09:42:07.332786,207.07,0.0,0.0,0.0,repaid,3,0,0,207.07,0.0,A,control
L102-2,102,2025-04-07T00:00:00,,,,,126.34,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L102-3,102,2025-03-22T00:00:00,2025-03-23 15:38:30.429059,2025-03-24 00:28:41.516800,2025-04-07,,93.24,0.0,0.0,0.0,default,14,1,1,0.0,59.63,A,control
L102-4,102,2025-04-17T00:00:00,2025-04-17 16:31:57.885919,2025-04-17 16:35:12.026749,2025-05-01,2025-05-01T16:35:12.026749,348.52,0.0,0.0,0.0,repaid,0,0,1,348.52,0.0,A,control
L105-1,105,2025-07-01T00:00:00,,,,,131.2,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L108-3,108,2025-07-16T00:00:00,2025-07-16 04:00:35.795007,2025-07-16 05:19:31.128107,2025-07-30,2025-07-30T05:19:31.128107,199.66,0.0,0.0,0.0,repaid,0,0,0,199.66,0.0,A,control
L109-1,109,2025-03-14T00:00:00,,,,,144.09,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L110-1,110,2025-01-21T00:00:00,2025-01-21 22:37:47.771792,2025-01-22 02:25:12.487898,2025-02-05,2025-02-05T02:25:12.487898,177.86,0.0,0.0,0.0,repaid,0,0,0,177.86,0.0,A,control
L110-2,110,2025-02-11T00:00:00,,,,,73.07,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L110-3,110,2025-02-08T00:00:00,,,,,125.6,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L111-1,111,2025-03-04T00:00:00,2025-03-04 19:00:35.617019,2025-03-04 19:29:02.711083,2025-03-18,2025-03-18T19:29:02.711083,287.22,0.0,0.0,0.0,repaid,0,0,1,287.22,0.0,A,control
L111-2,111,2025-02-01T00:00:00,,,,,92.5,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L112-1,112,2025-03-14T00:00:00,2025-03-14 10:26:56.314380,2025-03-14 11:14:23.777372,2025-03-28,2025-03-31T11:14:23.777372,122.17,0.0,0.0,0.0,repaid,3,0,1,122.17,0.0,A,control
L112-2,112,2025-05-02T00:00:00,2025-05-03 06:58:05.463931,2025-05-03 23:00:22.075940,2025-05-17,2025-05-17T23:00:22.075940,183.38,0.0,0.0,0.0,repaid,0,0,1,183.38,0.0,A,control
L113-1,113,2025-03-01T00:00:00,2025-03-01 06:38:01.349559,2025-03-01 11:59:53.506405,2025-03-15,2025-03-17T11:59:53.506405,150.54,0.0,0.0,0.0,repaid,2,0,1,150.54,0.0,A,control
L113-2,113,2025-04-01T00:00:00,2025-04-01 03:25:19.002217,2025-04-01 07:43:21.060273,2025-04-15,,76.65,0.0,0.0,0.0,default,16,1,1,0.0,70.78,A,control
L113-3,113,2025-04-02T00:00:00,,,,,138.91,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L114-1,114,2025-07-10T00:00:00,,,,,244.15,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L114-3,114,2025-07-27T00:00:00,2025-07-28 08:49:47.302233,2025-07-28 09:32:51.889268,2025-08-11,2025-08-11T09:32:51.889268,160.59,0.0,0.0,0.0,repaid,0,0,1,160.59,0.0,A,control
L117-1,117,2025-03-03T00:00:00,2025-03-03 08:36:48.046137,2025-03-03 10:18:19.164270,2025-03-17,2025-03-17T10:18:19.164270,136.25,0.0,0.0,0.0,repaid,0,0,1,136.25,0.0,A,control
L121-1,121,2025-07-13T00:00:00,2025-07-13 04:58:48.477610,2025-07-13 10:31:28.478982,2025-07-27,,40.0,0.0,0.0,0.0,default,19,1,0,0.0,28.91,A,control
L122-2,122,2025-07-16T00:00:00,2025-07-16 22:14:32.000125,2025-07-16 23:15:40.468876,2025-07-30,2025-07-30T23:15:40.468876,187.46,0.0,0.0,0.0,repaid,0,0,1,187.46,0.0,A,persuasive
L127-1,127,2025-02-26T00:00:00,2025-02-26 01:33:23.640555,2025-02-26 03:54:20.005614,2025-03-12,2025-03-12T03:54:20.005614,161.75,0.0,0.0,0.0,repaid,0,0,0,161.75,0.0,A,control
L127-2,127,2025-05-22T00:00:00,2025-05-22 05:06:52.211603,2025-05-22 10:32:38.613936,2025-06-05,,205.44,0.0,0.0,0.0,default,15,1,0,0.0,140.02,A,control
L128-1,128,2025-02-13T00:00:00,,,,,135.33,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L131-1,131,2025-02-04T00:00:00,2025-02-04 15:15:01.900668,2025-02-04 15:25:35.506428,2025-02-18,2025-02-22T15:25:35.506428,141.95,0.0,0.0,0.0,repaid,4,0,0,141.95,0.0,A,control
L131-2,131,2025-03-22T00:00:00,2025-03-22 17:18:58.345944,2025-03-23 17:15:10.539679,2025-04-06,2025-04-08T17:15:10.539679,117.45,0.0,0.0,0.0,repaid,2,0,1,117.45,0.0,A,control
L131-3,131,2025-03-22T00:00:00,2025-03-22 00:29:58.700979,2025-03-22 03:42:53.759213,2025-04-05,2025-04-05T03:42:53.759213,179.48,0.0,0.0,0.0,repaid,0,0,1,179.48,0.0,A,control
L131-4,131,2025-02-18T00:00:00,,,,,128.6,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L131-5,131,2025-04-04T00:00:00,2025-04-04 11:54:48.958417,2025-04-04 14:58:07.115593,2025-04-18,2025-04-18T14:58:07.115593,189.64,0.0,0.0,0.0,repaid,0,0,1,189.64,0.0,A,control
L131-6,131,2025-06-30T00:00:00,2025-07-01 01:19:44.306944,2025-07-01 02:53:06.499923,2025-07-15,2025-07-16T02:53:06.499923,160.7,0.0,0.0,0.0,repaid,1,0,1,160.7,0.0,A,control
L133-1,133,2025-01-18T00:00:00,2025-01-18 00:03:28.273111,2025-01-18 06:05:54.328118,2025-02-01,2025-02-01T06:05:54.328118,163.95,0.0,0.0,0.0,repaid,0,0,1,163.95,0.0,A,control
L133-2,133,2025-02-28T00:00:00,,,,,87.1,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L134-1,134,2025-04-06T00:00:00,,,,,72.88,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L136-1,136,2025-05-07T00:00:00,2025-05-08 02:06:42.851042,2025-05-08 05:56:39.898362,2025-05-22,2025-05-24T05:56:39.898362,134.36,1.77,0.0,0.0,repaid,2,0,0,134.36,0.0,B,control
L136-2,136,2025-06-07T00:00:00,2025-06-07 04:34:39.707946,2025-06-07 09:57:32.527726,2025-06-21,2025-06-22T09:57:32.527726,233.87,2.71,0.0,2.99,repaid,1,0,1,233.87,0.0,B,control
L137-1,137,2025-03-23T00:00:00,2025-03-23 11:32:55.130523,2025-03-23 13:11:19.095071,2025-04-06,2025-04-07T13:11:19.095071,174.94,0.0,0.0,0.0,repaid,1,0,1,174.94,0.0,A,control
L137-2,137,2025-04-10T00:00:00,,,,,72.13,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L138-1,138,2025-02-09T00:00:00,2025-02-09 00:50:07.806211,2025-02-09 17:40:21.345994,2025-02-23,2025-02-23T17:40:21.345994,260.04,0.0,0.0,0.0,repaid,0,0,1,260.04,0.0,A,control
L138-2,138,2025-02-20T00:00:00,,,,,230.82,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L140-1,140,2025-04-22T00:00:00,,,,,148.77,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,social_proof
L140-2,140,2025-05-02T00:00:00,2025-05-02 12:05:40.458160,2025-05-02 16:15:27.277479,2025-05-16,,250.75,0.0,0.0,0.0,default,24,1,1,0.0,151.28,A,social_proof
L146-1,146,2025-01-26T00:00:00,2025-01-26 02:56:29.195939,2025-01-26 06:36:04.474759,2025-02-09,2025-02-09T06:36:04.474759,165.73,0.0,0.0,0.0,repaid,0,0,1,165.73,0.0,A,control
L146-2,146,2025-03-27T00:00:00,2025-03-27 00:47:27.177074,2025-03-27 18:13:26.494567,2025-04-10,2025-04-16T18:13:26.494567,40.0,0.0,0.0,0.0,repaid,6,0,1,40.0,0.0,A,control
