user_id,signup_at,province,device_os,acquisition_channel,bank_linked_at,payroll_frequency,baseline_risk_score,fico_band
36,2025-03-13T00:00:00,ON,android,email,,biweekly,0.0457,740+
37,2025-06-12T00:00:00,AB,android,organic,2025-06-12T01:24:46.192711,weekly,0.2606,640-679
38,2025-02-11T00:00:00,QC,android,paid_search,2025-02-11T17:04:01.106181,biweekly,0.3587,640-679
39,2025-04-01T00:00:00,BC,ios,paid_search,,biweekly,0.2282,680-739
40,2025-06-21T00:00:00,QC,android,organic,2025-06-21T18:23:19.245198,biweekly,0.1962,680-739
41,2025-06-29T00:00:00,ON,ios,organic,2025-06-29T00:33:06.107888,weekly,0.1785,680-739
42,2025-06-05T00:00:00,ON,ios,referral,2025-06-05T03:46:21.012942,biweekly,0.3677,640-679
43,2025-05-17T00:00:00,ON,ios,organic,,semimonthly,0.2498,680-739
44,2025-02-11T00:00:00,ON,android,affiliate,,biweekly,0.339,640-679
45,2025-04-08T00:00:00,QC,android,referral,2025-04-10T19:45:49.375571,biweekly,0.2791,640-679
46,2025-06-13T00:00:00,QC,ios,paid_social,2025-06-13T10:24:38.460105,biweekly,0.3865,640-679
47,2025-06-25T00:00:00,ON,android,paid_search,2025-06-25T23:55:25.822095,biweekly,0.1638,680-739
48,2025-07-16T00:00:00,AB,ios,paid_social,2025-07-16T02:38:08.396340,semimonthly,0.2088,680-739
49,2025-02-28T00:00:00,ON,ios,organic,,monthly,0.1759,680-739
50,2025-07-26T00:00:00,QC,android,affiliate,2025-07-26T20:21:18.551812,weekly,0.1996,680-739
51,2025-04-13T00:00:00,BC,android,paid_social,2025-04-17T02:14:29.782583,biweekly,0.4444,580-639
52,2025-01-17T00:00:00,ON,ios,email,2025-01-19T18:31:53.892749,biweekly,0.3299,640-679
53,2025-05-26T00:00:00,BC,android,paid_search,2025-05-27T02:20:05.193075,monthly,0.6714,500-579
54,2025-02-24T00:00:00,QC,android,organic,2025-02-24T02:25:39.606719,unknown,0.0378,740+
55,2025-04-12T00:00:00,ON,android,affiliate,,monthly,0.2761,640-679
56,2025-02-06T00:00:00,MB,android,organic,2025-02-06T14:10:13.558251,semimonthly,0.4808,580-639
57,2025-02-05T00:00:00,ON,ios,organic,,semimonthly,0.2598,640-679
58,2025-07-10T00:00:00,AB,android,organic,2025-07-10T04:08:56.005186,unknown,0.0707,740+
59,2025-07-11T00:00:00,ON,android,organic,2025-07-11T22:02:17.925812,semimonthly,0.4346,580-639
60,2025-05-30T00:00:00,MB,android,organic,2025-05-30T00:52:34.142315,semimonthly,0.393,640-679
61,2025-04-03T00:00:00,ON,ios,organic,2025-04-03T14:56:22.041697,biweekly,0.1735,680-739
62,2025-02-05T00:00:00,QC,android,paid_social,,monthly,0.0905,740+
63,2025-01-24T00:00:00,QC,ios,organic,2025-01-24T08:14:19.874513,weekly,0.0953,740+
64,2025-01-29T00:00:00,QC,ios,paid_social,2025-01-29T06:24:23.505947,weekly,0.2835,640-679
65,2025-06-10T00:00:00,ON,ios,paid_search,2025-06-10T13:35:21.960475,biweekly,0.2443,680-739
66,2025-07-22T00:00:00,ON,android,affiliate,,weekly,0.4971,580-639
67,2025-06-02T00:00:00,ON,ios,organic,2025-06-03T04:53:24.198078,biweekly,0.5374,580-639
68,2025-04-09T00:00:00,BC,android,affiliate,2025-04-09T22:47:09.186254,weekly,0.8315,<500
69,2025-06-02T00:00:00,ON,android,organic,2025-06-02T07:07:36.149047,biweekly,0.4189,580-639
70,2025-05-16T00:00:00,ON,android,paid_search,2025-05-17T17:02:47.398071,biweekly,0.2651,640-679
71,2025-05-22T00:00:00,QC,ios,organic,,biweekly,0.2295,680-739
72,2025-06-24T00:00:00,ON,ios,organic,2025-06-24T05:42:43.462836,monthly,0.3588,640-679
73,2025-06-24T00:00:00,ON,android,organic,,monthly,0.1366,740+
74,2025-07-16T00:00:00,SK,android,paid_search,2025-07-16T09:51:15.303328,semimonthly,0.2693,640-679
75,2025-01-29T00:00:00,ON,android,organic,2025-01-29T10:13:00.843791,biweekly,0.3868,640-679
76,2025-04-22T00:00:00,ON,ios,organic,2025-04-27T18:02:09.741631,biweekly,0.1336,740+
77,2025-04-27T00:00:00,QC,ios,paid_search,2025-04-27T12:52:16.676584,monthly,0.3866,640-679
78,2025-07-04T00:00:00,ON,android,paid_social,2025-07-06T07:19:20.331263,weekly,0.173,680-739
79,2025-05-09T00:00:00,AB,ios,paid_social,2025-05-09T13:20:01.831381,monthly,0.524,580-639
80,2025-05-10T00:00:00,QC,ios,organic,,biweekly,0.3355,640-679
81,2025-06-10T00:00:00,SK,android,paid_social,2025-06-13T12:19:06.601865,biweekly,0.1971,680-739
82,2025-06-13T00:00:00,QC,ios,affiliate,,weekly,0.1954,680-739
83,2025-02-09T00:00:00,QC,android,referral,,biweekly,0.5111,580-639
84,2025-07-15T00:00:00,BC,ios,paid_social,2025-07-16T11:31:12.184581,biweekly,0.2876,640-679
85,2025-05-19T00:00:00,QC,ios,organic,2025-05-22T16:17:04.963596,weekly,0.1279,740+
86,2025-06-03T00:00:00,MB,android,affiliate,2025-06-04T11:47:10.039977,monthly,0.1573,680-739
87,2025-05-06T00:00:00,QC,ios,paid_social,,monthly,0.1652,680-739
88,2025-01-29T00:00:00,ON,android,affiliate,,biweekly,0.0627,740+
89,2025-07-26T00:00:00,AB,android,organic,2025-07-26T15:14:00.034244,biweekly,0.1838,680-739
90,2025-03-03T00:00:00,QC,ios,organic,2025-03-03T04:33:16.551569,weekly,0.1388,740+
91,2025-03-03T00:00:00,BC,ios,organic,,weekly,0.2198,680-739
92,2025-01-22T00:00:00,AB,android,organic,,weekly,0.2751,640-679
93,2025-07-28T00:00:00,ON,ios,referral,2025-07-28T22:17:41.026696,biweekly,0.2928,640-679
94,2025-07-14T00:00:00,MB,ios,affiliate,2025-07-14T09:28:18.987495,biweekly,0.2475,680-739
95,2025-02-02T00:00:00,ON,android,organic,2025-02-02T00:35:49.997180,weekly,0.4011,580-639
96,2025-05-21T00:00:00,ON,ios,organic,,monthly,0.0653,740+
97,2025-03-09T00:00:00,ON,android,affiliate,2025-03-09T02:40:53.811080,weekly,0.141,740+
98,2025-02-24T00:00:00,MB,ios,referral,2025-02-24T09:00:35.235232,biweekly,0.0737,740+
99,2025-07-02T00:00:00,QC,android,organic,2025-07-05T16:57:28.859884,semimonthly,0.0852,740+
100,2025-04-13T00:00:00,AB,android,organic,2025-04-13T09:23:13.259160,biweekly,0.5064,580-639
101,2025-04-23T00:00:00,NL,android,paid_search,2025-04-23T09:32:10.658947,weekly,0.2082,680-739
102,2025-01-31T00:00:00,QC,ios,paid_social,,weekly,0.1472,740+
103,2025-02-27T00:00:00,BC,ios,organic,,biweekly,0.4882,580-639
104,2025-03-28T00:00:00,BC,ios,organic,2025-03-28T08:26:42.003629,biweekly,0.1717,680-739
105,2025-05-31T00:00:00,QC,ios,paid_search,2025-06-03T10:51:27.537931,semimonthly,0.1783,680-739
106,2025-05-31T00:00:00,QC,ios,organic,,weekly,0.2849,640-679
107,2025-01-02T00:00:00,QC,ios,organic,,semimonthly,0.4564,580-639
108,2025-07-01T00:00:00,ON,ios,affiliate,2025-07-04T18:00:52.990537,biweekly,0.0754,740+
109,2025-02-28T00:00:00,AB,ios,paid_social,2025-03-02T08:45:11.374709,weekly,0.274,640-679
110,2025-01-09T00:00:00,QC,android,affiliate,2025-01-10T11:51:44.329344,biweekly,0.2351,680-739
111,2025-01-19T00:00:00,ON,ios,referral,2025-01-20T03:12:36.933151,weekly,0.2326,680-739
112,2025-03-13T00:00:00,BC,android,organic,2025-03-13T23:15:45.739555,semimonthly,0.1416,740+
113,2025-02-24T00:00:00,ON,ios,organic,,weekly,0.2439,680-739
114,2025-07-05T00:00:00,PE,android,organic,,biweekly,0.2192,680-739
115,2025-03-04T00:00:00,AB,android,organic,2025-03-05T16:08:04.319805,weekly,0.4754,580-639
116,2025-07-26T00:00:00,ON,android,organic,2025-07-31T11:59:57.621744,biweekly,0.2141,680-739
117,2025-02-18T00:00:00,AB,ios,organic,2025-02-20T15:23:17.839695,monthly,0.507,580-639
118,2025-01-25T00:00:00,ON,android,affiliate,2025-01-26T04:04:28.800070,biweekly,0.4081,580-639
119,2025-04-01T00:00:00,AB,android,organic,2025-04-05T08:18:45.095385,monthly,0.1064,740+
120,2025-04-16T00:00:00,ON,android,referral,2025-04-16T07:36:03.717429,biweekly,0.2514,640-679
121,2025-07-06T00:00:00,ON,ios,organic,,unknown,0.2412,680-739
122,2025-06-22T00:00:00,ON,ios,organic,2025-06-22T09:01:23.421735,semimonthly,0.49,580-639
123,2025-01-16T00:00:00,QC,android,paid_search,2025-01-18T04:14:03.974598,biweekly,0.5035,580-639
124,2025-07-06T00:00:00,AB,android,paid_social,,monthly,0.3159,640-679
125,2025-07-24T00:00:00,BC,ios,referral,2025-07-26T15:49:35.002350,monthly,0.4131,580-639
126,2025-03-05T00:00:00,AB,ios,organic,,semimonthly,0.2679,640-679
127,2025-02-18T00:00:00,ON,android,paid_social,2025-02-19T21:24:09.924854,weekly,0.2556,640-679
128,2025-02-05T00:00:00,BC,android,affiliate,2025-02-08T11:02:51.424099,biweekly,0.2196,680-739
129,2025-02-16T00:00:00,QC,android,organic,2025-02-16T01:24:16.693842,monthly,0.1073,740+
130,2025-04-29T00:00:00,ON,ios,organic,2025-04-30T20:08:36.483639,biweekly,0.3299,640-679
131,2025-01-20T00:00:00,AB,android,paid_social,2025-01-20T02:34:45.090145,biweekly,0.061,740+
132,2025-07-26T00:00:00,QC,ios,paid_social,2025-07-26T09:36:54.186847,unknown,0.1525,680-739
133,2025-01-13T00:00:00,ON,ios,paid_social,2025-01-15T11:55:55.710353,biweekly,0.3209,640-679
134,2025-01-24T00:00:00,AB,ios,referral,,biweekly,0.149,740+
135,2025-02-12T00:00:00,ON,android,organic,2025-02-12T16:52:46.817752,weekly,0.3252,640-679
136,2025-05-05T00:00:00,AB,android,organic,2025-05-05T00:21:02.367294,weekly,0.0705,740+
137,2025-02-24T00:00:00,BC,android,affiliate,,weekly,0.2415,680-739
138,2025-01-16T00:00:00,ON,ios,paid_search,2025-01-17T12:22:00.118005,biweekly,0.1893,680-739
139,2025-04-08T00:00:00,ON,ios,organic,2025-04-08T15:10:16.772182,weekly,0.0241,740+
140,2025-04-10T00:00:00,ON,android,organic,2025-04-11T12:46:25.853467,weekly,0.3522,640-679
141,2025-07-20T00:00:00,MB,android,paid_social,,biweekly,0.1359,740+
142,2025-03-15T00:00:00,BC,android,paid_search,,weekly,0.363,640-679
143,2025-06-28T00:00:00,ON,android,email,2025-06-28T06:01:52.007230,semimonthly,0.0717,740+
144,2025-02-09T00:00:00,ON,ios,email,,biweekly,0.2966,640-679
145,2025-03-17T00:00:00,ON,ios,paid_search,,semimonthly,0.5368,580-639
146,2025-01-15T00:00:00,NL,ios,organic,,biweekly,0.1649,680-739
147,2025-07-11T00:00:00,SK,android,organic,2025-07-12T02:55:13.489170,monthly,0.3751,640-679
148,2025-01-15T00:00:00,ON,ios,paid_social,,weekly,0.5042,580-639
149,2025-05-30T00:00:00,MB,android,organic,2025-05-30T13:21:09.715591,biweekly,0.4002,580-639
150,2025-05-09T00:00:00,BC,ios,organic,,weekly,0.4319,580-639
151,2025-01-15T00:00:00,ON,ios,paid_search,2025-01-17T04:57:44.267485,biweekly,0.1332,740+
152,2025-02-17T00:00:00,ON,ios,organic,,biweekly,0.353,640-679
153,2025-06-02T00:00:00,MB,ios,organic,2025-06-02T09:25:51.723019,weekly,0.3424,640-679
154,2025-06-22T00:00:00,ON,ios,paid_search,2025-06-22T04:49:01.738344,unknown,0.0863,740+
155,2025-04-14T00:00:00,QC,ios,paid_search,2025-04-14T04:30:45.085055,weekly,0.4248,580-639
156,2025-05-26T00:00:00,NB,ios,organic,2025-05-26T17:35:46.086694,monthly,0.2997,640-679
157,2025-05-29T00:00:00,BC,ios,paid_search,2025-05-31T12:57:17.954212,biweekly,0.319,640-679
158,2025-06-08T00:00:00,ON,ios,paid_social,2025-06-09T07:36:01.922654,weekly,0.3684,640-679
159,2025-04-18T00:00:00,AB,android,paid_search,,monthly,0.2157,680-739
160,2025-03-08T00:00:00,AB,ios,referral,2025-03-10T03:05:06.515490,weekly,0.1803,680-739
161,2025-06-21T00:00:00,QC,android,organic,2025-06-21T14:00:58.723259,weekly,0.0334,740+
162,2025-03-03T00:00:00,QC,android,organic,,biweekly,0.5961,580-639
163,2025-04-12T00:00:00,QC,ios,paid_social,,semimonthly,0.0765,740+
164,2025-06-21T00:00:00,SK,android,organic,,biweekly,0.5222,580-639
165,2025-04-28T00:00:00,ON,android,referral,2025-04-28T11:11:19.755141,biweekly,0.3071,640-679
166,2025-07-12T00:00:00,ON,ios,paid_social,2025-07-12T22:20:36.725971,semimonthly,0.1762,680-739
167,2025-01-03T00:00:00,QC,android,referral,2025-01-03T01:19:53.369322,biweekly,0.2282,680-739
168,2025-06-09T00:00:00,ON,ios,organic,2025-06-09T15:52:52.762692,semimonthly,0.4733,580-639
169,2025-01-19T00:00:00,ON,ios,referral,2025-01-20T09:02:16.674346,weekly,0.0755,740+
170,2025-05-10T00:00:00,BC,android,affiliate,2025-05-10T03:01:05.902816,weekly,0.0991,740+
171,2025-02-03T00:00:00,QC,android,paid_social,2025-02-08T12:09:14.381645,weekly,0.7758,500-579
172,2025-01-18T00:00:00,BC,ios,email,2025-01-18T03:17:53.223004,semimonthly,0.0525,740+
173,2025-04-05T00:00:00,MB,android,organic,2025-04-05T07:42:39.437650,biweekly,0.3062,640-679
174,2025-02-10T00:00:00,ON,android,paid_search,,biweekly,0.4001,580-639
175,2025-05-20T00:00:00,PE,android,paid_social,2025-05-21T15:21:08.516613,biweekly,0.1311,740+
176,2025-06-06T00:00:00,BC,ios,organic,2025-06-06T03:03:00.844240,biweekly,0.1787,680-739
177,2025-06-20T00:00:00,SK,android,organic,2025-06-20T04:57:39.457295,unknown,0.0646,740+
178,2025-06-19T00:00:00,BC,ios,organic,,weekly,0.2257,680-739
179,2025-02-04T00:00:00,ON,android,organic,2025-02-04T02:45:06.153182,monthly,0.5134,580-639
180,2025-01-30T00:00:00,BC,ios,paid_search,,biweekly,0.1749,680-739
181,2025-07-10T00:00:00,AB,ios,organic,,monthly,0.2923,640-679
182,2025-03-11T00:00:00,QC,android,organic,2025-03-11T12:44:38.446031,unknown,0.3775,640-679
183,2025-06-04T00:00:00,SK,ios,paid_search,2025-06-05T19:25:14.959308,weekly,0.0144,740+
184,2025-07-03T00:00:00,ON,android,organic,2025-07-07T02:59:54.960718,biweekly,0.2138,680-739
185,2025-02-22T00:00:00,QC,android,organic,2025-02-22T07:18:06.655896,biweekly,0.1112,740+
186,2025-05-10T00:00:00,QC,android,organic,,weekly,0.2133,680-739
187,2025-03-06T00:00:00,ON,ios,paid_social,2025-03-06T21:21:54.495263,unknown,0.2588,640-679
188,2025-01-24T00:00:00,QC,android,organic,2025-01-26T17:18:22.074460,biweekly,0.2989,640-679
189,2025-03-12T00:00:00,BC,ios,referral,2025-03-12T16:08:36.746856,biweekly,0.1595,680-739
190,2025-01-01T00:00:00,ON,android,organic,,semimonthly,0.2144,680-739
191,2025-07-17T00:00:00,QC,ios,referral,2025-07-17T20:05:49.387448,weekly,0.5473,580-639
192,2025-06-13T00:00:00,QC,android,paid_search,,monthly,0.5782,580-639
193,2025-02-11T00:00:00,AB,android,organic,,biweekly,0.3513,640-679
194,2025-05-22T00:00:00,BC,android,organic,2025-05-22T04:52:53.519566,semimonthly,0.5408,580-639
195,2025-05-24T00:00:00,BC,ios,organic,2025-05-24T00:21:55.697041,unknown,0.0933,740+
196,2025-01-29T00:00:00,AB,ios,paid_social,2025-01-29T05:44:19.631197,weekly,0.3973,640-679
197,2025-06-26T00:00:00,ON,ios,email,2025-06-27T19:59:20.836677,biweekly,0.1235,740+
198,2025-05-20T00:00:00,AB,ios,paid_social,2025-05-20T01:17:08.511429,unknown,0.1517,680-739
199,2025-04-05T00:00:00,QC,ios,paid_social,,biweekly,0.3169,640-679
200,2025-04-21T00:00:00,ON,ios,organic,2025-04-22T04:28:30.843900,monthly,0.2188,680-739
201,2025-01-11T00:00:00,BC,android,organic,,monthly,0.49,580-639
202,2025-04-04T00:00:00,BC,ios,referral,2025-04-04T05:51:34.581343,biweekly,0.3972,640-679
203,2025-04-02T00:00:00,QC,ios,referral,,biweekly,0.1346,740+
204,2025-06-24T00:00:00,BC,ios,affiliate,2025-06-25T18:57:14.440995,weekly,0.2577,640-679
205,2025-06-20T00:00:00,PE,ios,organic,2025-06-22T00:17:37.624441,weekly,0.4872,580-639
206,2025-04-01T00:00:00,ON,android,referral,2025-04-01T00:09:26.280270,semimonthly,0.133,740+
207,2025-06-08T00:00:00,MB,ios,email,2025-06-08T17:51:33.918535,semimonthly,0.2203,680-739
208,2025-03-02T00:00:00,BC,ios,organic,2025-03-02T13:10:41.118067,semimonthly,0.3827,640-679
209,2025-07-24T00:00:00,ON,ios,paid_social,2025-07-25T00:40:28.044455,biweekly,0.387,640-679
210,2025-04-16T00:00:00,QC,ios,organic,2025-04-16T12:12:16.938903,semimonthly,0.3378,640-679
211,2025-02-15T00:00:00,ON,android,organic,2025-02-15T02:46:59.578133,weekly,0.4848,580-639
212,2025-07-20T00:00:00,AB,android,organic,2025-07-22T06:56:25.423279,biweekly,0.6875,500-579
213,2025-07-25T00:00:00,ON,ios,organic,2025-07-27T05:27:34.878111,biweekly,0.2856,640-679
214,2025-03-10T00:00:00,QC,ios,affiliate,,weekly,0.3961,640-679
215,2025-07-21T00:00:00,ON,ios,paid_social,2025-07-21T17:13:34.734447,semimonthly,0.4777,580-639
216,2025-04-08T00:00:00,BC,ios,email,2025-04-08T01:45:44.678897,biweekly,0.1992,680-739
217,2025-05-01T00:00:00,ON,ios,referral,2025-05-02T20:58:42.931012,weekly,0.1883,680-739
218,2025-02-21T00:00:00,ON,android,paid_search,2025-02-21T12:48:04.038004,monthly,0.2301,680-739
219,2025-03-31T00:00:00,QC,android,organic,,unknown,0.5437,580-639
220,2025-07-30T00:00:00,QC,ios,email,2025-07-30T12:54:02.567889,weekly,0.2464,680-739
221,2025-02-27T00:00:00,QC,ios,paid_search,2025-03-01T11:00:48.005729,semimonthly,0.3272,640-679
222,2025-06-18T00:00:00,QC,ios,paid_search,2025-06-21T15:23:45.268159,semimonthly,0.0989,740+
223,2025-04-13T00:00:00,QC,android,organic,2025-04-15T01:15:33.817144,biweekly,0.2347,680-739
224,2025-03-13T00:00:00,AB,ios,paid_search,2025-03-15T15:04:12.979337,monthly,0.175,680-739
225,2025-07-17T00:00:00,AB,android,organic,2025-07-17T18:42:17.254559,monthly,0.0851,740+
226,2025-03-31T00:00:00,AB,android,organic,,unknown,0.4526,580-639
227,2025-06-23T00:00:00,QC,android,paid_social,,biweekly,0.2361,680-739
228,2025-01-08T00:00:00,AB,ios,organic,,monthly,0.2483,680-739
229,2025-03-08T00:00:00,BC,ios,organic,2025-03-09T04:39:30.924239,weekly,0.27,640-679
230,2025-05-29T00:00:00,QC,android,email,2025-05-30T06:12:31.432625,weekly,0.1676,680-739
231,2025-01-10T00:00:00,QC,ios,paid_search,2025-01-12T18:17:19.349419,weekly,0.1199,740+
232,2025-06-02T00:00:00,QC,android,paid_social,2025-06-02T19:06:45.102973,semimonthly,0.0725,740+
233,2025-03-30T00:00:00,ON,android,organic,2025-04-01T04:27:26.075515,weekly,0.2131,680-739
234,2025-04-22T00:00:00,AB,ios,paid_social,2025-04-22T13:01:59.884112,semimonthly,0.3572,640-679
235,2025-04-09T00:00:00,BC,ios,organic,2025-04-09T02:09:55.969748,weekly,0.1691,680-739
236,2025-03-07T00:00:00,BC,ios,paid_social,2025-03-07T10:55:43.379420,weekly,0.3535,640-679
237,2025-07-01T00:00:00,AB,android,paid_social,2025-07-03T23:19:03.549957,biweekly,0.1535,680-739
238,2025-01-01T00:00:00,MB,ios,paid_search,2025-01-05T16:54:30.653318,weekly,0.1925,680-739
239,2025-04-04T00:00:00,ON,android,affiliate,2025-04-07T00:29:46.296738,semimonthly,0.4912,580-639
240,2025-01-18T00:00:00,ON,android,paid_social,2025-01-18T03:02:43.870725,weekly,0.3189,640-679
241,2025-06-09T00:00:00,ON,android,organic,,weekly,0.2546,640-679
242,2025-06-19T00:00:00,ON,ios,organic,,weekly,0.1869,680-739
243,2025-07-04T00:00:00,QC,android,organic,2025-07-07T00:06:51.234925,biweekly,0.1676,680-739
244,2025-05-10T00:00:00,QC,android,referral,2025-05-12T18:54:51.959408,biweekly,0.3683,640-679
245,2025-06-20T00:00:00,ON,android,paid_search,2025-06-20T14:33:36.583650,biweekly,0.3136,640-679
246,2025-03-25T00:00:00,QC,android,paid_social,2025-03-25T08:48:23.910180,biweekly,0.2083,680-739
247,2025-06-28T00:00:00,NB,android,organic,2025-06-28T06:32:53.975448,biweekly,0.2039,680-739
248,2025-05-22T00:00:00,ON,ios,organic,2025-05-22T03:25:46.346070,biweekly,0.2049,680-739
249,2025-02-19T00:00:00,NS,android,organic,2025-02-20T04:47:48.549431,weekly,0.5664,580-639
250,2025-06-20T00:00:00,BC,android,email,2025-06-20T09:38:11.045369,biweekly,0.1122,740+
251,2025-06-23T00:00:00,BC,ios,organic,,unknown,0.183,680-739
252,2025-06-07T00:00:00,BC,android,paid_social,2025-06-07T14:31:38.653984,biweekly,0.189,680-739
253,2025-04-14T00:00:00,ON,ios,organic,2025-04-17T13:16:40.184997,biweekly,0.0683,740+
254,2025-03-19T00:00:00,BC,android,affiliate,2025-03-21T14:04:21.084230,semimonthly,0.3801,640-679
255,2025-02-23T00:00:00,QC,android,organic,2025-02-24T01:49:32.421766,weekly,0.4036,580-639
256,2025-07-21T00:00:00,BC,android,referral,2025-07-21T16:51:35.784929,biweekly,0.2121,680-739
257,2025-04-30T00:00:00,AB,android,referral,,monthly,0.0696,740+
258,2025-04-24T00:00:00,BC,ios,paid_social,2025-04-24T14:04:43.158458,weekly,0.156,680-739
259,2025-05-11T00:00:00,ON,android,organic,2025-05-12T06:23:33.005364,biweekly,0.3103,640-679
260,2025-07-23T00:00:00,BC,ios,organic,2025-07-28T12:46:31.833411,biweekly,0.1275,740+
261,2025-06-18T00:00:00,QC,ios,email,2025-06-18T01:11:35.885844,weekly,0.135,740+
262,2025-03-14T00:00:00,QC,android,organic,,weekly,0.2302,680-739
263,2025-01-24T00:00:00,AB,ios,email,2025-01-28T01:25:48.755924,biweekly,0.1174,740+
264,2025-06-22T00:00:00,QC,android,paid_search,,semimonthly,0.0664,740+
265,2025-02-27T00:00:00,ON,ios,organic,2025-03-03T05:48:44.652502,biweekly,0.6519,500-579
266,2025-02-07T00:00:00,BC,ios,paid_search,2025-02-13T08:43:52.456506,monthly,0.2552,640-679
267,2025-01-12T00:00:00,QC,ios,organic,2025-01-12T23:29:37.573845,weekly,0.1744,680-739
268,2025-05-02T00:00:00,AB,ios,organic,,biweekly,0.3708,640-679
269,2025-04-27T00:00:00,MB,android,paid_social,2025-04-27T10:05:49.475658,weekly,0.1384,740+
270,2025-06-11T00:00:00,QC,ios,affiliate,,biweekly,0.3118,640-679
271,2025-07-03T00:00:00,ON,android,organic,,biweekly,0.3559,640-679
272,2025-05-07T00:00:00,BC,android,paid_social,2025-05-07T10:40:27.682101,biweekly,0.3188,640-679
273,2025-03-04T00:00:00,ON,ios,email,2025-03-06T04:53:23.245775,biweekly,0.1267,740+
274,2025-06-17T00:00:00,ON,ios,referral,,biweekly,0.3073,640-679
275,2025-07-12T00:00:00,QC,ios,organic,2025-07-12T15:40:55.971089,weekly,0.4142,580-639
276,2025-07-19T00:00:00,ON,android,email,2025-07-19T10:40:53.905038,weekly,0.1936,680-739
277,2025-02-26T00:00:00,ON,ios,organic,2025-02-26T07:56:02.337907,biweekly,0.4239,580-639
278,2025-07-25T00:00:00,ON,android,paid_search,2025-07-26T06:41:21.241893,unknown,0.2493,680-739
279,2025-01-13T00:00:00,MB,ios,paid_search,2025-01-14T02:26:48.778138,biweekly,0.1537,680-739
280,2025-02-01T00:00:00,AB,android,referral,2025-02-01T22:01:46.903445,weekly,0.3856,640-679
281,2025-02-04T00:00:00,ON,android,paid_social,2025-02-05T17:25:36.112215,biweekly,0.1021,740+
